Year,Pairing,Fandom,Type,Works
2021,Loki/Tony Stark,The Avengers (Marvel Movies),M/M,10842
2021,Jack Harkness/Ianto Jones,Torchwood,M/M,10827
2021,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,Other,10797
2021,Castiel & Dean Winchester,Supernatural,Gen,10733
2021,"James ""Bucky"" Barnes & Steve Rogers",Captain America (Movies),Gen,10634
2021,Bilbo Baggins/Thorin Oakenshield,The Hobbit,M/M,10518
2021,Fox Mulder/Dana Scully,The X-Files,F/M,10377
2021,Aziraphale & Crowley (Good Omens),Good Omens,Gen,10369
2021,Tenth Doctor/Rose Tyler,Doctor Who (2005),F/M,10253
2021,Frank Iero/Gerard Way,My Chemical Romance,M/M,10234
2021,Uchiha Sasuke/Uzumaki Naruto,Naruto,M/M,9578
2021,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,9370
2021,Zayn Malik/Liam Payne,One Direction (Band),M/M,9305
2021,Sherlock Holmes/Molly Hooper,Sherlock (TV),F/M,8976
2021,V/Min Yoongi,Bangtan Boys,M/M,8968
2021,"James ""Bucky"" Barnes/Tony Stark",Marvel Cinematic Universe,M/M,8767
2021,Sawamura Daichi/Sugawara Koushi,Haikyuu!!,M/M,8761
2021,Inquisitor/Cullen Rutherford,Dragon Age: Inquisition,Other,8594
2021,Jaime Lannister/Brienne of Tarth,Game of Thrones (TV),F/M,8484
2021,Byun Baekhyun/Park Chanyeol,EXO (Band),M/M,8408
2021,Adora/Catra (She-Ra),She-Ra and the Princesses of Power (2018),F/F,8347
2021,"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",9-1-1 (TV),M/M,8345
2021,Kozume Kenma/Kuroo Tetsurou,Haikyuu!!,M/M,8290
2021,Belle/Rumplestiltskin,Once Upon a Time (TV),F/M,8283
2021,Peter Hale/Stiles Stilinski,Teen Wolf (TV),M/M,8206
2021,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,F/M,8205
2021,"James T. Kirk/Leonard ""Bones"" McCoy",Star Trek: Alternate Original Series (Movies),M/M,8161
2021,Dean Winchester/You,Supernatural,Other,8088
2021,Harry Potter/Tom Riddle,Harry Potter,M/M,8083
2021,Levi Ackerman/Erwin Smith,Attack on Titan,M/M,8065
2021,Tsukishima Kei/Yamaguchi Tadashi,Haikyuu!!,M/M,7968
2021,Poe Dameron/Finn,Star Wars Sequel Trilogy,M/M,7945
2022,Castiel/Dean Winchester,Supernatural (TV 2005),M/M,103225
2022,Sherlock Holmes/John Watson,Sherlock (TV),M/M,66436
2022,Derek Hale/Stiles Stilinski,Teen Wolf (TV),M/M,65528
2022,"James ""Bucky"" Barnes/Steve Rogers",Captain America (Movies),M/M,59640
2022,Draco Malfoy/Harry Potter,Harry Potter,M/M,56507
2022,Steve Rogers/Tony Stark,The Avengers (Marvel Movies),M/M,43436
2022,Aziraphale/Crowley (Good Omens),Good Omens,M/M,42066
2022,Harry Styles/Louis Tomlinson,One Direction (Band),M/M,37318
2022,Jeon Jungkook/Kim Taehyung,Bangtan Boys,M/M,32629
2022,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,32615
2022,Keith/Lance (Voltron),Voltron: Legendary Defender,M/M,32529
2022,Sirius Black/Remus Lupin,Harry Potter,M/M,32429
2022,Lan Wangji/Wei Ying,Mo Dao Zu Shi,M/M,31777
2022,Chat Noir/Marinette Dupain-Cheng,Miraculous Ladybug,F/M,31257
2022,Dean Winchester/Sam Winchester,Supernatural (TV 2005),M/M,30781
2022,Magnus Bane/Alec Lightwood,Shadowhunters (TV),M/M,29934
2022,Rey/Ben Solo,Star Wars Sequel Trilogy,F/M,27926
2022,Bakugou Katsuki/Kirishima Eijirou,Boku no Hero Academia,M/M,27490
2022,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice (Anime),M/M,26463
2022,Peter Parker & Tony Stark,Marvel Cinematic Universe,Gen,25763
2022,Merlin/Arthur Pendragon (Merlin),Merlin (TV),M/M,25746
2022,Jeon Jungkook/Park Jimin,Bangtan Boys,M/M,25270
2022,Suga/Park Jimin,Bangtan Boys,M/M,24665
2022,Will Graham/Hannibal Lecter,Hannibal (TV),M/M,23997
2022,Midoriya Izuku/Todoroki Shouto,Boku no Hero Academia,M/M,21582
2022,Pepper Potts/Tony Stark,Marvel Cinematic Universe,F/M,21230
2022,RM/Kim Seokjin,Bangtan Boys,M/M,20979
2022,Dream/GeorgeNotFound (Video Blogging RPF),Video Blogging RPF,M/M,20920
2022,Hermione Granger/Draco Malfoy,Harry Potter,F/M,20117
2022,James Potter/Lily Evans Potter,Harry Potter,F/M,19611
2022,Sherlock Holmes & John Watson,Sherlock (TV),Gen,19207
2022,Kara Danvers/Lena Luthor,Supergirl (TV 2015),F/F,19062
2022,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,M/M,18685
2022,Geralt of Rivia/Jaskier,The Witcher (TV),M/M,18663
2022,Blaine Anderson/Kurt Hummel,Glee,M/M,17912
2022,Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),Bungou Stray Dogs,M/M,17676
2022,Hermione Granger/Ron Weasley,Harry Potter,F/M,17325
2022,Eraserhead/Yamada Hizashi,Boku no Hero Academia,M/M,17318
2022,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,M/M,17106
2022,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),M/M,17075
2022,Levi Ackerman/Eren Yeager,Attack on Titan,M/M,16780
2022,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),M/M,16413
2022,J-Hope/Min Yoongi,Bangtan Boys,M/M,16311
2022,Wilbur Soot & Technoblade & TommyInnit,Minecraft (Video Game),Gen,15929
2022,Keith/Shiro (Voltron),Voltron: Legendary Defender,M/M,15927
2022,Wilbur Soot & TommyInnit,Minecraft (Video Game),Gen,15564
2022,Armitage Hux/Ben Solo,Star Wars Sequel Trilogy,M/M,15349
2022,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,M/M,15199
2022,"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",9-1-1 (TV),M/M,14895
2022,Eddie Kaspbrak/Richie Tozier,IT,M/M,14836
2022,Regina Mills/Emma Swan,Once Upon a Time (TV),F/M,14536
2022,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),M/M,14516
2022,Bellamy Blake/Clarke Griffin,The 100 (TV),F/M,14507
2022,Ian Gallagher/Mickey Milkovich,Shameless (US),M/M,14453
2022,Harry Potter/Severus Snape,Harry Potter,M/M,14446
2022,Loki/Thor (Marvel),Thor (Movies),M/M,14283
2022,Harry Potter/Ginny Weasley,Harry Potter,F/M,14206
2022,Jensen Ackles/Jared Padalecki,Supernatural (TV 2005) RPF,M/M,13983
2022,Gabriel/Sam Winchester,Supernatural (TV 2005),M/M,13943
2022,V/Park Jimin,Bangtan Boys,M/M,13918
2022,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,Other,13702
2022,Rodney McKay/John Sheppard,Stargate Atlantis,M/M,13416
2022,Jeon Jungkook/Min Yoongi,Bangtan Boys,M/M,13184
2022,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,13091
2022,Dean Winchester & Sam Winchester,Supernatural (TV 2005),Gen,13020
2022,Tubbo & TommyInnit,Minecraft (Video Game),M/M,12899
2022,Clarke Griffin/Lexa,The 100 (TV),F/F,12765
2022,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),F/M,12250
2022,Fox Mulder/Dana Scully,The X-Files,F/M,12076
2022,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),M/M,11915
2022,Mycroft Holmes/Greg Lestrade,Sherlock (TV),M/M,11889
2022,Enjolras/Grantaire (Les Miserables),Les Misérables,M/M,11803
2022,Aziraphale & Crowley (Good Omens),Good Omens,Gen,11799
2022,"James ""Bucky"" Barnes & Steve Rogers",Marvel Cinematic Universe,Gen,11700
2022,Jack Harkness/Ianto Jones,Torchwood,M/M,11673
2022,Loki/Tony Stark,The Avengers (Marvel Movies),M/M,11630
2022,Oliver Queen/Felicity Smoak,Arrow (TV 2012),F/M,11583
2022,Uchiha Sasuke/Uzumaki Naruto,Naruto,M/M,11501
2022,Killian Jones/Emma Swan,Once Upon a Time (TV),F/M,11438
2022,Castiel & Dean Winchester,Supernatural (TV 2005),Gen,11427
2022,Clint Barton/Phil Coulson,The Avengers (Marvel Movies),M/M,11283
2022,Bilbo Baggins/Thorin Oakenshield,The Hobbit,M/M,11143
